,date,cases
0,2014-01-13,1
1,2014-01-14,1
2,2014-01-17,1
3,2014-01-23,1
4,2014-01-28,1
5,2014-01-31,1
6,2014-02-03,1
7,2014-02-05,1
8,2014-02-07,2
9,2014-02-10,1
10,2014-02-12,1
11,2014-02-13,6
12,2014-02-20,2
13,2014-02-21,1
14,2014-02-26,2
15,2014-02-27,2
16,2014-02-28,4
17,2014-03-03,2
18,2014-03-05,13
19,2014-03-06,3
20,2014-03-10,5
21,2014-03-13,2
22,2014-03-14,1
23,2014-03-18,1
24,2014-03-26,4
25,2014-03-28,1
26,2014-04-07,1
27,2014-04-08,3
28,2014-04-09,3
29,2014-04-10,2
30,2014-04-11,1
31,2014-04-14,2
32,2014-04-16,2
33,2014-04-21,1
34,2014-05-02,1
35,2014-05-05,1
36,2014-05-09,2
37,2014-05-12,1
38,2014-05-13,3
39,2014-05-21,2
40,2014-05-26,2
41,2014-06-11,1
42,2014-06-13,1
43,2014-08-11,1
44,2014-08-12,1
45,2014-08-25,1
46,2014-08-29,2
47,2014-09-03,1
48,2014-09-05,1
49,2014-09-08,1
50,2014-09-11,1
51,2014-09-17,1
52,2014-09-22,1
53,2014-09-24,2
54,2014-09-30,1
55,2014-10-10,1
56,2014-10-17,1
57,2014-10-20,1
58,2014-10-22,1
59,2014-10-23,1
60,2014-10-24,2
61,2014-10-27,2
62,2014-10-28,2
63,2014-10-29,4
64,2014-10-30,3
65,2014-10-31,6
66,2014-11-03,5
67,2014-11-04,2
68,2014-11-05,2
69,2014-11-10,1
70,2014-11-13,3
71,2014-11-17,5
72,2014-11-18,11
73,2014-11-19,3
74,2014-11-20,3
75,2014-11-21,1
76,2014-11-24,5
77,2014-11-25,5
78,2014-12-01,5
79,2014-12-02,3
80,2014-12-03,3
81,2014-12-04,6
82,2014-12-08,6
83,2014-12-09,2
84,2014-12-10,2
85,2014-12-11,9
86,2014-12-12,6
87,2014-12-15,9
88,2014-12-16,5
89,2014-12-17,9
90,2014-12-18,12
91,2014-12-19,2
92,2014-12-22,2
93,2015-01-05,8
94,2015-01-06,2
95,2015-01-07,1
96,2015-01-08,1
97,2015-01-09,1
98,2015-01-12,7
99,2015-01-13,4
100,2015-01-14,9
101,2015-01-15,10
102,2015-01-16,4
103,2015-01-19,1
104,2015-01-20,7
105,2015-01-21,11
106,2015-01-22,12
