,date,cases
0,2014-01-14,1
1,2014-01-16,1
2,2014-01-17,1
3,2014-01-21,2
4,2014-01-27,1
5,2014-02-03,3
6,2014-02-04,1
7,2014-02-05,1
8,2014-02-07,4
9,2014-02-12,1
10,2014-02-19,3
11,2014-02-26,1
12,2014-02-27,2
13,2014-02-28,1
14,2014-03-07,1
15,2014-03-17,2
16,2014-03-19,1
17,2014-03-28,1
18,2014-04-16,1
19,2014-04-23,1
20,2014-05-02,1
21,2014-05-05,1
22,2014-05-15,1
23,2014-05-20,1
24,2014-05-21,1
25,2014-05-22,1
26,2014-07-01,1
27,2014-07-31,1
28,2014-08-06,2
29,2014-08-14,1
30,2014-09-08,2
31,2014-09-09,2
32,2014-09-10,1
33,2014-09-11,2
34,2014-09-15,1
35,2014-09-22,1
36,2014-09-23,1
37,2014-09-24,3
38,2014-09-29,2
39,2014-10-02,1
40,2014-10-03,1
41,2014-10-06,1
42,2014-10-07,1
43,2014-10-08,1
44,2014-10-09,1
45,2014-10-13,4
46,2014-10-17,1
47,2014-10-21,2
48,2014-10-23,5
49,2014-10-24,1
50,2014-10-27,8
51,2014-10-28,9
52,2014-10-29,5
53,2014-10-30,7
54,2014-10-31,1
55,2014-11-03,10
56,2014-11-04,6
57,2014-11-05,10
58,2014-11-06,7
59,2014-11-07,4
60,2014-11-10,14
61,2014-11-11,6
62,2014-11-12,6
63,2014-11-13,11
64,2014-11-14,3
65,2014-11-17,18
66,2014-11-18,15
67,2014-11-19,10
68,2014-11-20,10
69,2014-11-21,3
70,2014-11-24,13
71,2014-11-25,14
72,2014-11-26,1
73,2014-12-01,11
74,2014-12-02,9
75,2014-12-03,9
76,2014-12-04,3
77,2014-12-08,12
78,2014-12-09,5
79,2014-12-10,6
80,2014-12-11,7
81,2014-12-12,4
82,2014-12-15,8
83,2014-12-16,10
84,2014-12-17,12
85,2014-12-18,9
86,2014-12-19,3
87,2014-12-22,1
88,2015-01-05,1
89,2015-01-06,3
90,2015-01-12,1
91,2015-01-13,1
92,2015-01-15,2
93,2015-01-20,3
94,2015-01-21,4
95,2015-01-22,3
96,2015-01-26,3
97,2015-01-27,2
98,2015-01-28,1
99,2015-01-29,1
100,2015-01-30,2
101,2015-02-04,2
102,2015-02-05,2
103,2015-02-06,1
104,2015-02-09,7
105,2015-02-10,2
106,2015-02-11,1
107,2015-02-12,3
108,2015-02-13,1
109,2015-02-16,3
110,2015-02-18,1
111,2015-02-20,1
112,2015-02-23,2
113,2015-02-24,2
114,2015-02-25,2
115,2015-02-26,3
116,2015-03-02,2
117,2015-03-03,4
118,2015-03-04,2
119,2015-03-05,2
120,2015-03-06,1
121,2015-03-09,5
122,2015-03-11,1
123,2015-03-16,1
124,2015-03-17,3
125,2015-03-18,1
126,2015-03-19,2
127,2015-03-23,3
128,2015-03-25,2
129,2015-03-26,2
130,2015-03-27,1
131,2015-03-30,4
132,2015-03-31,1
133,2015-04-01,1
134,2015-04-02,2
135,2015-04-07,3
136,2015-04-09,1
137,2015-04-13,2
138,2015-04-15,1
139,2015-04-20,4
140,2015-04-21,1
141,2015-04-22,1
142,2015-04-23,1
143,2015-04-27,5
144,2015-04-28,1
145,2015-04-29,1
146,2015-04-30,1
147,2015-05-04,3
148,2015-05-05,3
149,2015-05-06,5
150,2015-05-07,1
151,2015-05-11,4
152,2015-05-13,3
153,2015-05-19,1
154,2015-06-22,1
155,2015-06-24,1
156,2015-06-25,2
157,2015-07-30,1
158,2015-08-25,1
159,2015-08-28,1
160,2015-09-15,1
161,2015-09-17,1
162,2015-09-21,2
163,2015-09-22,1
164,2015-09-24,1
165,2015-09-29,1
166,2015-10-05,1
167,2015-10-06,1
168,2015-10-07,1
169,2015-10-12,3
170,2015-10-13,1
171,2015-10-14,1
172,2015-10-19,2
173,2015-10-20,2
174,2015-10-21,1
175,2015-10-22,8
176,2015-10-23,1
177,2015-10-26,1
178,2015-10-27,1
179,2015-10-29,2
180,2015-11-04,1
181,2015-11-09,3
182,2015-11-10,1
183,2015-11-11,2
184,2015-11-12,1
185,2015-11-16,3
186,2015-11-17,2
187,2015-11-18,4
188,2015-11-19,3
189,2015-11-20,1
190,2015-11-23,5
191,2015-11-24,6
192,2015-11-30,2
193,2015-12-01,1
194,2015-12-02,3
195,2015-12-03,1
